Nationality,First Language,University Name,Level of Study,How long have you been studying in English-medium Institution?,"Reading Comprehension 
(Understanding academic text)",Listening Skills (Understanding lectures and spoken English),Speaking Skills (Fluency and confidence in spoken communication),Writing Skills (Ability to write academic papers and assignments),I have recived formal English language education since childhood.,My school education prepared me well for English-medium university studies.,My English proficiency has improved since I started my university studies.,English is necessary for my academics success in India.,"Even without strong English proficiency, I believe I can succeed in my studies.","I regularly parctice English outside my academics studies. (Watching moveis, reading books, or speaking with friends)",My motivation to learn English is influenced by career opportunities.,The region I come from has influenced my English Proficiency.,"I actively seek opportunities to improve my English skills. ( joining language courses, speaking clubs, or tutoring)","In a multilingual country like India, English is necessary for effective communication.",My home country's education system provided strong English Language training.,I think foreign students face more language difficulties compared to Indian students in Indian Universities.,Indian students also face challenges with academic English despite growing up in a multilingual environment.,"Language support programs (such as English courses, peer tutoring, or writing centers) should be improved in Indian Universities.",My university provides enough language support for students struggling with English.,"More resources (such as language courses, tutoring, or language labs) should be available to help students improve their English proficiency.",I believe my English skills will improve through social interaction with peers and faculty members.,Language barriers have affected my ability to form friendships and participate in university activities.,What challenges have you faced in learning or using English at your university ?,What strategies or resources have helped you improve your English proficiency ?,"Do you think your university should implement new languages support programs? Yes, what kind ?"
Indian,Hindi,University of Lucknow,Postgraduate,1-5 years,Very strong,Very Strong,Strong,Moderate,Agree,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Teacher ka English me samjhna,Technology,Pata nhi
Indian,Odia,English and foreign languages University,Postgraduate,More than 5 years,Strong,Strong,Strong,Strong,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Neutral,Strongly Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Everyone expects skilled answers,"Talking to people, professors, watching movies, reading books",I don't know
Afghanistan,Pashto language,University of Pune in india,Postgraduate,More than 5 years,Very strong,Very Strong,Very Strong,Strong,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Neutral,Writings in English,I started speaking in english,Yes its other language hindi
Indian,Marathi,Savitribai fule university,Undergraduate,Less than 1 year,Weak,Moderate,Very Weak,Moderate,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Not,Read books,Yes
Indian,Hindi,University of Lucknow,Postgraduate,1-5 years,Moderate,Moderate,Moderate,Moderate,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Agree,Disagree,Communication,Make atmosphere for English,Yes
Indian,Maithili,University of Delhi,Postgraduate,Less than 1 year,Strong,Strong,Moderate,Strong,Disagree,Neutral,Agree,Strongly agree,Agree,Agree,Neutral,Disagree,Disagree,Agree,Disagree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Agree,Disagree,Lack of guidance.,Newspaper and English stand up comedy.,"Yes, of course. There must be a dedicated department at all central university which can enable student to learn practical knowledge of english as well as foreign language, but at present they are just SELLING certificates."
Indian,MARATHI,SAVITRIBAI PHULE PUNE UNIVERSITY.,Undergraduate,1-5 years,Strong,Strong,Moderate,Strong,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Disagree,Speaking in english language with other country student .,"English newspaper , Books , series, dictionary",No already have.
Sri Lankan,Tamil,NIT Karnataka,Postgraduate,More than 5 years,Strong,Strong,Strong,Very Strong,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Disagree,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly agree,Strongly Agree,Peers arent that fluent as I am to speak communicate,"Communication, watching movies","yes, tutoring"
Indian,English,Sister Nivedita university,Postgraduate,More than 5 years,Strong,Very Strong,Very Strong,Very Strong,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Strongly agree,Disagree,I am comfortable with English from childhood as I m from a English medium,School teachers,It's already going on
Indian,Hindi,University of Lucknow,Postgraduate,1-5 years,Moderate,Strong,Moderate,Strong,Neutral,Neutral,Agree,Disagree,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Agree,I am not involved this natur,My friends and professors,Yes
Mauritian,Mauritian Creole,University of Lucknow,Undergraduate,More than 5 years,Strong,Strong,Strong,Strong,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Neutral,Tenses,Listening and speaking classes,Yes
Indian,Hindi,University of lucknow,Undergraduate,Less than 1 year,Strong,Strong,Moderate,Strong,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Speaking English,Watching Movies,"Hindi, english"
Indian,Hindi,University of Lucknow,Undergraduate,More than 5 years,Very strong,Very Strong,Very Strong,Strong,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly Agree,Disagree,Strongly disagree,Agree,Disagree,Agree,Agree,Neutral,Neutral,Agree,Disagree,Strongly disagree,It was never a problem as i was always good in English as no hesitation in speaking and having conversation with anyone,"Shame, Self-doubt, Were my best Part to improve my English because flier is best to learn.",No
Indian,Hindi,University of Lucknow,Undergraduate,More than 5 years,Very strong,Strong,Moderate,Strong,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly Agree,Agree,Agree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,No challenges,No idea,Yes many foreign languages should be introduced
Indian,Hindi,Lucknow University,Postgraduate,More than 5 years,Strong,Very Strong,Strong,Very Strong,Strongly agree,Strongly agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Strongly agree,Neutral,I do not faced any challenges or difficulties in the university because of of my academics which was from english from childhood.,"Do not be affected by the shyness.
Speak in english whatever you can speak.
Most probably important that try to listen.",I don't know exactly.
Jamaican,English,University of Lucknow,Undergraduate,More than 5 years,Very strong,Very Strong,Very Strong,Very Strong,Strongly agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Strongly Agree,Strongly agree,Neutral,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Agree,"I find it challenging to comprehend the primary Hindi medium lessons, which has affected my participation in classes and extracurricular activities. Furthermore, the limited availability of English teaching resources at the university contributes to a lack of confidence among local students in speaking English, making it less conducive for international students like me to engage in communicate effectively.","I am an avid reader who reviews and proofreads books in my free time, which has been vital for continuously improving my English proficiency. Growing up in an English-speaking country with a diverse curriculum further strengthened my comprehension skills and expanded my vocabulary. It also helped that I was a member of several community development and debate groups prior to my arrival in India.","Yes, I believe the University of Lucknow lacks sufficient resources to support and promote English learning among students. Initiatives such as volunteer reading programs in underprivileged areas, author visits, literary activities and competitions could significantly boost English literacy. In addition, expanding the libraries to include a broader selection of contemporary English-written novels could help foster greater interest in reading within the university community."
Chad,Arabic,Symbiosis International University,Undergraduate,1-5 years,Very strong,Very Strong,Very Strong,Very Strong,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Disagree,Neutral,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Disagree,I didn't face any challenges,"Reading Books, watching movies and listening to musics",Hindi
Indian,Hindi,University of Lucknow,Postgraduate,1-5 years,Strong,Strong,Strong,Very Strong,Neutral,Neutral,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Strongly Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,"1. Language Environment
2. Availability of Resources","1. Regular Practice
2. English Newspapers and Books 
3 . Online Apps and Movies etc.","Yes, I think my university should implement new language support programs, especially to develop English language skills. Many students have difficulty speaking and writing English, which affects their academic and professional prospects. Some important programs may be as follows: Professional English Training, Buddy Language Program, Educational Games & Activities Etc."
Indian,Hindi,University of lucknow,Postgraduate,Less than 1 year,Moderate,Moderate,Weak,Strong,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Medium of instructions.....nd lack of fluency,Reading english book,Yes.... through the professor
Indian,Hindi,University of lucknow,Postgraduate,Less than 1 year,Moderate,Strong,Very Weak,Weak,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Neutral,Neutral,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Ha,Ha,Ha
Indian,Hindi,Lucknow University,Postgraduate,Less than 1 year,Weak,Weak,Moderate,Moderate,Agree,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Lack of fluency,Reading English content,Yes by taking help form other languages department
Indian,Hindi,Lucknow University,Postgraduate,More than 5 years,Strong,Moderate,Weak,Moderate,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Environment,Practice,Yes
Indian,Hindi,Lucknow University,Postgraduate,More than 5 years,Very strong,Very Strong,Strong,Moderate,Neutral,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Content Not Fully Delivered In English Language In Classroom Settings,"Podcast, Lecture, Social Media , Magzine, Newspaper, Regular Studies","Yes, Via Shift Of Attitude During Delevery Of Content"
Indian,Hindi,Lucknow University,Postgraduate,More than 5 years,Very strong,Moderate,Very Strong,Strong,Agree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Neutral,Lack of co operative students,"Reading , writing, speaking in English","Yes. From organising programs, fest ,fair"
Indian,hindi,LUCKNOW UNIVERSITY,Postgraduate,More than 5 years,Moderate,Strong,Moderate,Weak,Strongly disagree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Disagree,Neutral,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Proper execution of learning english language is not enough for excellency,Literature newspapers junearls etc.,"Yes, by seminor and essay writing competition"
Indian,Hindi,University of Lucknow,Postgraduate,More than 5 years,Very strong,Very Strong,Strong,Strong,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly Agree,Less conducive environment,Listening and speaking,Yes
Tanzania,Swahili,University of Lucknow,Undergraduate,1-5 years,Moderate,Moderate,Moderate,Moderate,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Strongly agree,Neutral,Strongly agree,Agree,Strongly Agree,"Lack of motivation and self-confidence, fear, hesitation, and limited vocabulary","Reading Books, Magazines, and Newspapers",Increased capacity to express ideas.
Myanmar,Burmese,Symbiosis,Undergraduate,1-5 years,Very strong,Strong,Moderate,Moderate,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Disagree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Communication mainly,Watching web series and talking a lot,"Humm, yes they should implement something new but i don’t know what innovation would be helpful"
Indian,Hindi,University of Lucknow,Postgraduate,1-5 years,Strong,Strong,Moderate,Strong,Agree,Disagree,Agree,Strongly agree,Neutral,Disagree,Agree,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Environment and peer group,Watching english shows and using simple english in day to day life,"Yes,small optional clubs for learning different language"
Somali,Somali,Savitribai Phule Pune University,Postgraduate,More than 5 years,Moderate,Very Strong,Strong,Moderate,Disagree,Disagree,Agree,Strongly agree,Neutral,Agree,Agree,Disagree,Agree,Agree,Disagree,Strongly agree,Neutral,Agree,Strongly disagree,Strongly agree,Agree,Agree,Making fewer Indian friends and teachers not understanding your accent sometimes.,"Talking to international friends, reading books watching videos and taking English teaching online classes","Yes, they should give atleast six months short English course of speaking, reading and writing and listening to the students from non English speaking countries"
Indian,Urdu,Lucknow University,Undergraduate,1-5 years,Moderate,Strong,Weak,Weak,Neutral,Disagree,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,"Lack of grammatical knowledge. 
And unability to utilise existing language knowledge.",Youtube videos and Books,"Yes, one language paper must be included in every course."
Nepalese,Nepali,SIU,Undergraduate,More than 5 years,Very strong,Strong,Strong,Strong,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Strongly disagree,The accent that I speak and the professors and friends clashes alot causing me to be confused and not understand at times,trying to cope with the accent become more exposed to it through friends,No.
Bangladeshi,Bengali,University of Lucknow,Undergraduate,1-5 years,Moderate,Moderate,Moderate,Strong,Disagree,Neutral,Agree,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Disagree,Agree,Neutral,Strongly Agree,Not fluent and non English medium background student,Reading books and communication with foreign students,In English based in every sector
Sri lankan,Sinhala,University of Lucknow,Postgraduate,More than 5 years,Strong,Strong,Strong,Strong,Neutral,Neutral,Disagree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,"Some of my indians friends are not speaking in English, they have broken english l, while speaking with them with thier level, it is affected my level as well",English youtube video,"On the one hand yes, for indian students and on the other hand foreign students should know english while they are studing in another country."
Indian,Hindi,Lucknow University,Undergraduate,More than 5 years,Very strong,Very Strong,Very Strong,Very Strong,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,I didn't face any challenges using English at my university,"To improve my English, I read books and articles, listened to English podcasts and videos, and practiced speaking with native speakers. I also wrote regularly to strengthen my skills and relied on grammar resources like Grammarly to improve my writing accuracy.","Yes, universities should implement language support programs like ESL courses, multilingual offerings (e.g., Mandarin, Arabic), language exchange opportunities, immersion programs, and translation/interpretation courses. These would improve language skills and promote cultural understanding."
Indian,Hindi,Lucknow University,Postgraduate,Less than 1 year,Strong,Strong,Moderate,Strong,Disagree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Nothing,Regular English speaking,Neutral
Indian,HINDI,UNIVERSITY OF LUCKNOW,Undergraduate,Less than 1 year,Moderate,Weak,Very Weak,Moderate,Disagree,Strongly disagree,Disagree,Agree,Disagree,Neutral,Agree,Strongly disagree,Disagree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Communication,Reading english News paper,Yes
Indian,HINDI,UNIVERSITY OF LUCKNOW,Postgraduate,Less than 1 year,Strong,Strong,Moderate,Very Strong,Agree,Neutral,Disagree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,BASICALLY WE USED TO ENGLISH SPEAKING SO WE HAVE NOT FACED ANY PROBLEM AT UNIVERSITY LEVEL LIKE COMMUNICATE AND UNDERSTANDING THEMSELVES.,"We Should to be participate in that conversation which is informally use by friends or colleagues in english language. 
We","YES, UNIVERSITY SHOULD TO BE IMPLEMENT LANGUAGE SUPPORT PROGRAMME AND IT IS POSSIBLE TO PROVIDING MULTIPLE OPPORTUNITIES IN ENGLISH LANGUAGE."
Indian,Hindi,University of Lucknow,Undergraduate,More than 5 years,Strong,Strong,Moderate,Strong,Agree,Agree,Neutral,Agree,Agree,Neutral,Strongly disagree,Disagree,Neutral,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Not being fluent and confident enough,"Watching English videos with subtitles 
","Yes
A lot"
Ugandan,Namanda Ronald,University of Lucknow,Undergraduate,More than 5 years,Very strong,Strong,Strong,Moderate,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Agree,Facing the problem of interacting with my friends and sometimes teachers,Always read novels and some other materials,English is the best way to go being international language
Sri lanka,Sinhala,University of lucknow,Postgraduate,Less than 1 year,Strong,Moderate,Moderate,Strong,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,I study with Indian students and sometimes I can't understand the English they speak. Because of their pronunciation is very different.,"Constant use of English, movies",Yes
